,Date,Close Price,Open Price,High Price,Low Price,Total Traded Quantity,TTQ,Month,Year,PxV,Day_Perc_Change,Trend
244,2018-11-02,1665.53,1678.59,1697.44,1651.83,6.96M,6960000,11,2018,11592088800.0,0.02317852316009339,No Change
245,2018-11-01,1665.53,1623.53,1670.45,1598.44,8.14M,8140000,11,2018,13557414200.0,0.0,No Change
246,2018-10-31,1598.01,1569.99,1623.91,1565.09,9.39M,9390000,10,2018,15005313900.0,-0.04053964803996324,No Change
247,2018-10-30,1530.42,1486.16,1540.99,1476.36,12.46M,12460000,10,2018,19069033200.0,-0.04229635609289051,No Change
248,2018-10-29,1538.88,1660.0,1665.74,1495.0,13.87M,13870000,10,2018,21344265600.0,0.0055278943035246275,No Change
249,2018-10-26,1642.81,1649.59,1698.46,1603.0,14.96M,14960000,10,2018,24576437600.0,0.06753613017259297,No Change
250,2018-10-25,1782.17,1703.34,1794.81,1692.01,10.29M,10290000,10,2018,18338529300.0,0.08483026034660135,No Change
251,2018-10-24,1664.2,1773.7,1777.71,1656.56,6.93M,6930000,10,2018,11532906000.0,-0.06619458300835501,No Change
252,2018-10-23,1768.7,1742.24,1776.34,1714.0,6.72M,6720000,10,2018,11885664000.0,0.06279293354164173,No Change
253,2018-10-22,1789.3,1784.0,1809.5,1756.0,4.50M,4500000,10,2018,8051850000.0,0.011646972352575391,No Change
254,2018-10-19,1764.03,1785.16,1809.1,1753.0,5.91M,5910000,10,2018,10425417300.0,-0.014122841334600067,No Change
255,2018-10-18,1770.72,1821.49,1830.15,1767.87,5.87M,5870000,10,2018,10394126400.0,0.0037924525093111505,No Change
256,2018-10-17,1831.73,1842.79,1845.0,1807.0,5.30M,5300000,10,2018,9708169000.0,0.03445491099665676,No Change
257,2018-10-16,1819.96,1783.5,1823.88,1761.55,5.86M,5860000,10,2018,10664965600.0,-0.006425619496323143,No Change
258,2018-10-15,1760.95,1795.0,1795.05,1734.23,6.44M,6440000,10,2018,11340518000.0,-0.032423789533835956,No Change
