Date,Close Price,Open Price,High Price,Low Price,Total Traded Quantity
"Aug 23, 2019","1,749.62","1,793.03","1,804.90","1,745.23",5.28M
"Aug 22, 2019","1,805.60","1,828.00","1,829.41","1,800.10",2.66M
"Aug 21, 2019","1,823.54","1,819.39","1,829.58","1,815.00",2.04M
"Aug 20, 2019","1,801.38","1,814.50","1,816.82","1,799.88",1.93M
"Aug 19, 2019","1,816.12","1,818.08","1,826.00","1,812.61",2.82M
"Aug 16, 2019","1,792.57","1,792.89","1,802.91","1,784.55",3.05M
"Aug 15, 2019","1,776.12","1,781.99","1,788.00","1,761.96",3.81M
"Aug 14, 2019","1,762.96","1,793.01","1,795.65","1,757.21",4.89M
"Aug 13, 2019","1,824.34","1,783.00","1,831.74","1,780.00",4.08M
"Aug 12, 2019","1,784.92","1,795.99","1,800.98","1,777.00",2.91M
"Aug 09, 2019","1,807.58","1,828.95","1,831.09","1,802.22",2.88M
"Aug 08, 2019","1,832.89","1,806.00","1,834.26","1,798.11",3.70M
"Aug 07, 2019","1,793.40","1,773.99","1,798.93","1,757.00",4.53M
"Aug 06, 2019","1,787.83","1,792.23","1,793.77","1,753.40",5.07M
"Aug 05, 2019","1,765.13","1,770.22","1,788.67","1,748.78",6.06M
"Aug 02, 2019","1,823.24","1,845.07","1,846.36","1,808.02",4.96M
"Aug 01, 2019","1,855.32","1,871.72","1,897.92","1,844.01",4.71M
"Jul 31, 2019","1,866.78","1,898.11","1,899.55","1,849.44",4.47M
"Jul 30, 2019","1,898.53","1,891.12","1,909.89","1,883.48",2.91M
"Jul 29, 2019","1,912.45","1,930.00","1,932.23","1,890.54",4.49M
"Jul 26, 2019","1,943.05","1,942.00","1,950.89","1,924.51",4.93M
"Jul 25, 2019","1,973.82","2,001.00","2,001.20","1,972.72",4.14M
"Jul 24, 2019","2,000.81","1,969.30","2,001.30","1,965.87",2.63M
"Jul 23, 2019","1,994.49","1,995.99","1,997.79","1,973.13",2.70M
"Jul 22, 2019","1,985.63","1,971.14","1,989.00","1,958.26",2.91M
"Jul 19, 2019","1,964.52","1,991.21","1,996.00","1,962.23",3.19M
"Jul 18, 2019","1,977.90","1,980.01","1,987.50","1,951.55",3.50M
"Jul 17, 2019","1,992.03","2,007.05","2,012.00","1,992.03",2.56M
"Jul 16, 2019","2,009.90","2,010.58","2,026.32","2,001.22",2.62M
"Jul 15, 2019","2,020.99","2,021.40","2,022.90","2,001.55",2.98M
"Jul 12, 2019","2,011.00","2,008.27","2,017.00","2,003.87",2.51M
"Jul 11, 2019","2,001.07","2,025.62","2,035.80","1,995.30",4.32M
"Jul 10, 2019","2,017.41","1,996.51","2,024.94","1,995.40",4.93M
"Jul 09, 2019","1,988.30","1,947.80","1,990.01","1,943.47",4.35M
"Jul 08, 2019","1,952.32","1,934.12","1,956.00","1,928.25",2.88M
"Jul 05, 2019","1,942.91","1,928.60","1,945.90","1,925.30",2.63M
"Jul 03, 2019","1,939.00","1,935.89","1,941.59","1,930.50",1.69M
"Jul 02, 2019","1,934.31","1,919.38","1,934.79","1,906.63",2.65M
"Jul 01, 2019","1,922.19","1,922.98","1,929.82","1,914.66",3.20M
"Jun 28, 2019","1,893.63","1,909.10","1,912.94","1,884.00",3.04M
"Jun 27, 2019","1,904.28","1,902.00","1,911.24","1,898.04",2.14M
"Jun 26, 2019","1,897.83","1,892.48","1,903.80","1,887.32",2.44M
"Jun 25, 2019","1,878.27","1,911.84","1,916.38","1,872.42",3.01M
"Jun 24, 2019","1,913.90","1,912.66","1,916.86","1,901.30",2.28M
"Jun 21, 2019","1,911.30","1,916.10","1,925.95","1,907.58",3.93M
"Jun 20, 2019","1,918.19","1,933.33","1,935.20","1,905.80",3.22M
"Jun 19, 2019","1,908.79","1,907.84","1,919.58","1,892.47",2.90M
"Jun 18, 2019","1,901.37","1,901.35","1,921.67","1,899.79",3.90M
"Jun 17, 2019","1,886.03","1,876.50","1,895.69","1,875.45",2.63M
"Jun 14, 2019","1,869.67","1,864.00","1,876.00","1,859.00",2.85M
"Jun 13, 2019","1,870.30","1,866.72","1,883.09","1,862.22",2.80M
"Jun 12, 2019","1,855.32","1,853.98","1,865.00","1,844.38",2.68M
"Jun 11, 2019","1,863.70","1,883.25","1,893.70","1,858.00",4.04M
"Jun 10, 2019","1,860.63","1,822.00","1,884.87","1,818.00",5.37M
"Jun 07, 2019","1,804.03","1,763.70","1,806.25","1,759.49",4.81M
"Jun 06, 2019","1,754.36","1,737.71","1,760.00","1,726.13",3.69M
"Jun 05, 2019","1,738.50","1,749.60","1,752.00","1,715.25",4.24M
"Jun 04, 2019","1,729.56","1,699.24","1,730.82","1,680.89",5.68M
"Jun 03, 2019","1,692.69","1,760.01","1,766.29","1,672.00",9.10M
"May 31, 2019","1,775.07","1,790.01","1,795.59","1,772.70",4.62M
